[200~w	PL(all)
5.714707846	0.0007484838
5.726392321	0.0007270716
5.738076795	0.0007031686
5.749761269	0.0006754190
5.761445743	0.0006351220
5.773130217	0.0005808142
5.784814691	0.0005215809
5.796499165	0.0004689079
5.808183639	0.0004306424
5.819868114	0.0004103522
5.831552588	0.0004091375
5.843237062	0.0004273361
5.854921536	0.0004647177
5.86660601	0.0005186864
5.878290484	0.0005812783
5.889974958	0.0006389070
5.901659432	0.0006777897
5.913343907	0.0006881709
5.925028381	0.0006661501
5.936712855	0.0006208199
5.948397329	0.0005726168
5.960081803	0.0005398651
5.971766277	0.0005323399
5.983450751	0.0005535714
5.995135225	0.0006028541
6.006819699	0.0006724175
6.018504174	0.0007407063
6.030188648	0.0007725957
6.041873122	0.0007419150
6.053557596	0.0006577295
6.06524207	0.0005532055
6.076926544	0.0004555460
6.088611018	0.0003759026
6.100295492	0.0003151097
6.111979967	0.0002700063
6.123664441	0.0002362609
6.135348915	0.0002092743
6.147033389	0.0001852949
6.158717863	0.0001628628
6.170402337	0.0001424813
6.182086811	0.0001248950
6.193771285	0.0001102252
6.20545576	0.0000981350
6.217140234	0.0000881541
6.228824708	0.0000798458
6.240509182	0.0000728557
6.252193656	0.0000669114
6.26387813	0.0000618046
6.275562604	0.0000573752
6.287247078	0.0000535015
6.298931553	0.0000500881
6.310616027	0.0000470599
6.322300501	0.0000443569
6.333984975	0.0000419310
6.345669449	0.0000397429
6.357353923	0.0000377603
6.369038397	0.0000359561
6.380722871	0.0000343083
6.392407346	0.0000327979
6.40409182	0.0000314090
6.415776294	0.0000301279
6.427460768	0.0000289426
6.439145242	0.0000278435
6.450829716	0.0000268215
6.46251419	0.0000258692
6.474198664	0.0000249796
6.485883139	0.0000241471
6.497567613	0.0000233665
6.509252087	0.0000226332
6.520936561	0.0000219431
6.532621035	0.0000212925
6.544305509	0.0000206784
6.555989983	0.0000200977
6.567674457	0.0000195479
6.579358932	0.0000190264
6.591043406	0.0000185317
6.60272788	0.0000180610
6.614412354	0.0000176132
6.626096828	0.0000171868
6.637781302	0.0000167798
6.649465776	0.0000163912
6.66115025	0.0000160199
6.672834725	0.0000156647
6.684519199	0.0000153245
6.696203673	0.0000149985
6.707888147	0.0000146857
6.719572621	0.0000143854
6.731257095	0.0000140969
6.742941569	0.0000138195
6.754626043	0.0000135527
6.766310518	0.0000132956
6.777994992	0.0000130479
6.789679466	0.0000128091
6.80136394	0.0000125786
6.813048414	0.0000123560
6.824732888	0.0000121411
6.836417362	0.0000119332
6.848101836	0.0000117321
6.859786311	0.0000115377
6.871470785	0.0000113492
6.883155259	0.0000111668
6.894839733	0.0000109898
6.906524207	0.0000108182
6.918208681	0.0000106518
6.929893155	0.0000104901
6.941577629	0.0000103334
6.953262104	0.0000101809
6.964946578	0.0000100326
6.976631052	0.0000098887
6.988315526	0.0000097484
7	0.0000096120
